,zip,lat,lng,city,state_id,population
27354,78701,30.270490000000002,-97.74235,Austin,TX,9427
27355,78702,30.263270000000002,-97.71432,Austin,TX,23389
27356,78703,30.29409,-97.76571,Austin,TX,20890
27357,78704,30.24315,-97.76536999999999,Austin,TX,48486
27358,78705,30.29437,-97.73855,Austin,TX,33948
27359,78712,30.285020000000003,-97.73477,Austin,TX,860
27360,78717,30.48988,-97.75371,Austin,TX,30218
27361,78719,30.14483,-97.67083000000001,Austin,TX,1815
27362,78721,30.27005,-97.68365,Austin,TX,12492
27363,78722,30.28997,-97.71465,Austin,TX,7110
27364,78723,30.304270000000002,-97.6857,Austin,TX,34569
27365,78724,30.2944,-97.61415,Austin,TX,24779
27366,78725,30.235809999999997,-97.60837,Austin,TX,7886
27367,78726,30.42949,-97.84206999999999,Austin,TX,13867
27368,78727,30.4295,-97.71741,Austin,TX,29509
27369,78728,30.45655,-97.68986,Austin,TX,21480
27370,78729,30.45842,-97.75595,Austin,TX,29315
27371,78730,30.364890000000003,-97.83731,Austin,TX,9186
27372,78731,30.34736,-97.76847,Austin,TX,27175
27373,78732,30.37912,-97.8931,Austin,TX,17849
27374,78733,30.32323,-97.87609,Austin,TX,8611
27375,78734,30.378529999999998,-97.94960999999999,Austin,TX,18745
27376,78735,30.2659,-97.86658,Austin,TX,17923
27377,78736,30.2611,-97.95944,Austin,TX,9047
27378,78737,30.187790000000003,-97.95966,Austin,TX,16160
27379,78738,30.31942,-97.95838,Austin,TX,15589
27380,78739,30.17845,-97.88869,Austin,TX,20312
27381,78741,30.230490000000003,-97.71401,Austin,TX,52716
27382,78742,30.24413,-97.6583,Austin,TX,828
27383,78744,30.18277,-97.7292,Austin,TX,48969
27384,78745,30.20685,-97.79738,Austin,TX,62771
27385,78746,30.297290000000004,-97.81054,Austin,TX,28495
27386,78747,30.12653,-97.74016999999999,Austin,TX,20166
27387,78748,30.16538,-97.82343,Austin,TX,50997
27388,78749,30.213759999999997,-97.85821,Austin,TX,37774
27389,78750,30.41828,-97.80246,Austin,TX,30847
27390,78751,30.31082,-97.72274,Austin,TX,15805
27391,78752,30.3318,-97.70425999999999,Austin,TX,21324
27392,78753,30.382040000000003,-97.67361,Austin,TX,59085
27393,78754,30.35575,-97.64482,Austin,TX,24408
27394,78756,30.32227,-97.74016999999999,Austin,TX,8323
27395,78757,30.35158,-97.73252,Austin,TX,24823
27396,78758,30.387990000000002,-97.70684,Austin,TX,47470
27397,78759,30.40268,-97.76105,Austin,TX,42524
